Season,Team,Basic,1B,2B,3B,HR,SO,BB,GB,FB,LD,IFFB,FIP
2018,Cleveland,103,100,104,87,102,100,100,101,95,101,93,100
2018,Detroit,102,101,100,129,101,97,98,100,104,105,107,102
2018,Kansas City,102,103,106,113,92,97,100,102,102,103,97,98
2018,Minnesota,101,101,104,105,99,100,101,101,100,101,99,100
2018,New York Yankees,100,100,93,86,107,100,100,98,100,100,102,102
2018,Oakland,96,98,102,102,93,100,99,100,99,102,102,97
2018,Seattle,96,98,94,84,100,104,100,97,102,95,102,99
2018,Tampa Bay,96,98,95,105,95,103,100,98,98,98,102,96
2018,Texas,109,105,105,116,105,97,104,102,101,104,102,104
2018,Toronto,100,98,103,98,103,99,99,100,100,97,97,101
2018,Arizona,101,101,99,133,97,100,101,101,98,102,98,99
2018,Atlanta,101,101,102,91,97,99,100,100,98,103,99,99
2018,Chicago Cubs,99,100,100,111,96,99,101,100,99,101,95,99
2018,Cincinnati,102,98,100,94,110,104,102,97,101,100,103,103
2018,Colorado,114,108,113,137,110,97,101,106,98,103,86,105
2018,Miami,95,99,96,98,90,100,99,100,97,99,97,97
2018,Houston,96,98,93,95,100,102,98,100,97,99,102,98
2018,Los Angeles Dodgers,95,98,98,73,102,100,94,98,100,98,104,99
2018,Milwaukee,100,97,99,94,103,102,100,98,99,97,100,100
2018,Washington,102,102,103,91,104,100,100,100,102,99,99,102
2018,New York Mets,95,95,92,83,98,103,99,96,102,95,107,98
2018,Philadelphia,100,98,96,100,110,103,100,98,102,98,107,103
2018,Pittsburgh,99,101,106,97,94,98,102,102,100,100,96,100
2018,St. Louis,96,101,96,91,94,97,98,101,99,103,104,98
2018,San Diego,97,98,99,91,96,100,102,101,98,101,99,99
2018,San Francisco,97,102,101,114,88,100,100,101,98,100,102,95
2019,Los Angeles Angels,99,99,97,88,104,101,99,100,100,100,98,101
2019,Baltimore,100,100,96,90,106,98,100,101,104,97,104,104
2019,Boston,104,102,115,108,97,99,100,102,100,101,101,99
2019,Chicago White Sox,99,98,93,88,105,101,100,99,102,96,102,101
2019,Cleveland,103,100,104,87,102,100,100,101,95,101,93,100
2019,Detroit,102,101,100,129,101,97,98,100,104,105,107,102
2019,Kansas City,102,103,106,113,92,97,100,102,102,103,97,98
2019,Minnesota,101,101,104,105,99,100,101,101,100,101,99,100
2019,New York Yankees,100,100,93,86,107,100,100,98,100,100,102,102
2019,Oakland,96,98,102,102,93,100,99,100,99,102,102,97
2019,Seattle,96,98,94,84,100,104,100,97,102,95,102,99
2019,Tampa Bay,96,98,95,105,95,103,100,98,98,98,102,96
2019,Texas,109,105,105,116,105,97,104,102,101,104,102,104
2019,Toronto,100,98,103,98,103,99,99,100,100,97,97,101
2019,Arizona,101,101,99,133,97,100,101,101,98,102,98,99
